Timestamp,Server,Throughput (Mbps),Source CI (TACC),Destination CI
2025-03-29 04:25:52,Virginia,4239.560156548693,315,376
2025-03-29 04:36:17,Oregon,4222.314428880139,315,316
2025-03-29 04:36:42,Virginia,4123.963380560546,315,376
2025-03-29 04:47:07,Oregon,3610.9223438977174,311,316
2025-03-29 04:47:31,Virginia,4551.3343297737965,311,372
2025-03-29 04:57:56,Oregon,4251.82202682077,311,316
2025-03-29 04:58:19,Virginia,4410.700579630452,311,372
2025-03-29 05:08:44,Oregon,3987.132086250307,299,318
2025-03-29 05:09:08,Virginia,4326.363733868993,299,370
2025-03-29 05:19:35,Oregon,3967.494548072475,299,318
2025-03-29 05:19:59,Virginia,4211.150068193521,299,370
2025-03-29 05:30:24,Oregon,3821.097015198491,299,318
2025-03-29 05:30:48,Virginia,4035.9446544100447,299,370
2025-03-29 05:41:13,Oregon,4410.26479635505,299,318
2025-03-29 05:41:37,Virginia,4180.849453131718,299,370
2025-03-29 05:52:02,Oregon,4430.114447258489,281,318
2025-03-29 05:52:26,Virginia,4456.289268089792,281,366
2025-03-29 06:02:51,Oregon,3931.611496315969,286,323
2025-03-29 06:03:15,Virginia,4202.4589512823095,286,362
2025-03-29 06:13:40,Oregon,4112.217760632355,286,323
2025-03-29 06:14:04,Virginia,4560.618917331445,286,362
2025-03-29 06:24:29,Oregon,4279.245756952886,286,323
2025-03-29 06:24:53,Virginia,4186.821175127491,286,362
2025-03-29 06:35:18,Oregon,3968.518580266687,286,323
2025-03-29 06:35:42,Virginia,4130.618554072322,286,362
2025-03-29 06:46:07,Oregon,4718.572287291616,272,323
2025-03-29 06:46:31,Virginia,4387.66600240566,272,360
2025-03-29 06:56:56,Oregon,4126.6872477743955,272,323
2025-03-29 06:57:20,Virginia,4344.934476565026,272,360
2025-03-29 07:07:45,Oregon,3842.381643058663,274,315
2025-03-29 07:08:09,Virginia,4385.24762243075,274,358
2025-03-29 07:18:34,Oregon,4114.107759052992,274,315
2025-03-29 07:18:58,Virginia,4532.72442586712,274,358
2025-03-29 07:29:23,Oregon,3985.815265994881,274,315
2025-03-29 07:29:47,Virginia,4131.247868664635,274,358
2025-03-29 07:40:12,Oregon,3633.148826610873,274,315
2025-03-29 07:40:36,Virginia,4117.19346555664,274,358
2025-03-29 07:51:01,Oregon,3762.2218648659214,258,315
2025-03-29 07:51:25,Virginia,4363.17860887812,258,356
2025-03-29 08:01:50,Oregon,4307.499750215087,256,307
2025-03-29 08:02:14,Virginia,4135.13046961534,256,355
2025-03-29 08:12:39,Oregon,3452.598224635545,256,307
2025-03-29 08:13:03,Virginia,4129.66911081733,256,355
2025-03-29 08:23:28,Oregon,3989.59310233248,256,307
2025-03-29 08:23:52,Virginia,4259.270296909215,256,355
2025-03-29 08:34:17,Oregon,4284.176983384528,256,307
2025-03-29 08:34:41,Virginia,4135.707565995119,256,355
2025-03-29 08:45:06,Oregon,4389.600706397722,256,307
2025-03-29 08:45:30,Virginia,4070.011833985819,256,355
2025-03-29 08:55:55,Oregon,4015.4873655681736,255,307
2025-03-29 08:56:19,Virginia,4136.863620580463,255,355
2025-03-29 09:06:44,Oregon,3877.827982702806,250,317
2025-03-29 09:07:08,Virginia,4374.443128714053,250,357
2025-03-29 09:17:33,Oregon,4060.2651316909473,250,317
2025-03-29 09:17:57,Virginia,4186.034161774207,250,357
2025-03-29 09:28:22,Oregon,4371.1995174688545,250,317
2025-03-29 09:28:46,Virginia,4528.844171245185,250,357
2025-03-29 09:39:11,Oregon,3694.90437552353,250,317
2025-03-29 09:39:35,Virginia,4424.412452217848,250,357
2025-03-29 09:50:00,Oregon,3981.4119117793375,257,317
2025-03-29 09:50:24,Virginia,4277.514854211718,257,361
2025-03-29 10:00:50,Oregon,3858.2157362744783,262,312
2025-03-29 10:01:14,Virginia,4418.238081250132,262,362
2025-03-29 10:11:39,Oregon,4130.881302018465,262,312
2025-03-29 10:12:03,Virginia,4119.038865089995,262,362
2025-03-29 10:22:28,Oregon,3688.88262356934,262,312
2025-03-29 10:22:52,Virginia,4378.335537204627,262,362
2025-03-29 10:33:17,Oregon,4107.391723248675,262,312
2025-03-29 10:33:40,Virginia,4441.293519706225,262,362
2025-03-29 10:44:05,Oregon,4098.219694795205,262,312
2025-03-29 10:44:30,Virginia,4276.992522093813,262,362
2025-03-29 10:54:55,Oregon,3997.29967507943,270,312
2025-03-29 10:55:19,Virginia,3730.2504249003982,270,356
2025-03-29 11:05:44,Oregon,3837.818691641959,270,312
2025-03-29 11:06:07,Virginia,4034.3975536709463,270,355
2025-03-29 11:16:33,Oregon,4717.00580686088,270,312
2025-03-29 11:16:57,Virginia,4452.30246634276,270,355
2025-03-29 11:27:22,Oregon,4002.2785124335514,270,312
2025-03-29 11:27:46,Virginia,4295.027603165892,270,355
2025-03-29 11:38:11,Oregon,3952.684248476667,270,312
2025-03-29 11:38:35,Virginia,4191.90982126193,270,355
2025-03-29 11:49:00,Oregon,4230.538708735057,283,312
2025-03-29 11:49:24,Virginia,4330.621836283099,283,357
