job_id,source_node,destination_node,forecast_id,allocated_time,carbon_emissions,throughput,transfer_time,transfer_time_hours,deadline
3,chi,buff,3,2907.2521215313436,299.54490930358025,192621752.9785583,2907.2521215313436,0.8075700337587065,3
2,chi,buff,5,2079.7780782652685,214.18513182881125,192328212.40891132,2079.7780782652685,0.5777161328514635,5
8,chi,buff,5,1252.3040349991925,128.9647626077117,191646751.3419413,1252.3040349991925,0.3478622319442201,6
6,chi,buff,8,838.567013366155,84.67211012855725,190801686.0307108,838.567013366155,0.2329352814905986,8
4,chi,buff,9,3320.9891431643823,333.62286357876866,192713668.2507129,3320.9891431643823,0.9224969842123284,10
7,chi,buff,9,279.0108568356177,292.058302623046,192621752.9785583,279.0108568356177,0.07750301578767158,12
7,chi,buff,8,2628.241264695726,293.572108798233,192621752.9785583,2628.241264695726,0.730067017971035,12
1,chi,buff,8,133.19172193811892,210.0121093303628,192328212.40891132,133.19172193811892,0.03699770053836637,15
1,chi,buff,10,1946.5863563271496,210.5549345068435,192328212.40891132,1946.5863563271496,0.5407184323130971,15
9,chi,buff,7,3600.0,1255.5081040718187,193186884.28416547,3600.0,1.0,25
9,chi,buff,6,3600.0,1263.673325914369,193186884.28416547,3600.0,1.0,25
9,chi,buff,10,1653.4136436728504,1266.8655846751928,193186884.28416547,1653.4136436728504,0.45928156768690287,25
9,chi,buff,5,267.917886735539,1271.742086737146,193186884.28416547,267.917886735539,0.0744216352043164,25
9,chi,buff,11,3301.8720886828255,1274.2078280107542,193186884.28416547,3301.8720886828255,0.9171866913007849,25
5,chi,buff,3,692.7478784686564,4231.507791820004,193307710.57853508,692.7478784686564,0.19242996624129344,25
5,chi,buff,2,3600.0,4234.269199445456,193307710.57853508,3600.0,1.0,25
5,chi,buff,4,3600.0,4235.810940394814,193307710.57853508,3600.0,1.0,25
5,chi,buff,1,3600.0,4238.408039720534,193307710.57853508,3600.0,1.0,25
5,chi,buff,0,3600.0,4246.023733012838,193307710.57853508,3600.0,1.0,25
5,chi,buff,24,3600.0,4246.023733012838,193307710.57853508,3600.0,1.0,25
5,chi,buff,23,3600.0,4265.141176175664,193307710.57853508,3600.0,1.0,25
5,chi,buff,22,3600.0,4292.04926827086,193307710.57853508,3600.0,1.0,25
5,chi,buff,21,3600.0,4316.590426319927,193307710.57853508,3600.0,1.0,25
5,chi,buff,20,3600.0,4333.978984694131,193307710.57853508,3600.0,1.0,25
5,chi,buff,19,3600.0,4348.468180472673,193307710.57853508,3600.0,1.0,25
5,chi,buff,11,298.1279113171745,4348.653679557275,193307710.57853508,298.1279113171745,0.08281330869921513,25
5,chi,buff,18,3600.0,4362.506942032211,193307710.57853508,3600.0,1.0,25
5,chi,buff,12,793.9193436180303,4368.499478806807,193307710.57853508,793.9193436180303,0.22053315100500842,25
