job_id,route,source_node,destination_node,forecast_id,allocated_fraction,allocated_time,carbon_emissions,throughput,transfer_time,deadline
1,chi_buff,chi,buff,12,1.0,2079.7780782652685,212.31526468443928,192328212.40891132,2079.7780782652685,15
2,chi_buff,chi,buff,5,1.0,2079.7780782652685,214.18513182881125,192328212.40891132,2079.7780782652685,5
3,chi_buff,chi,buff,3,1.0,2907.252121531344,299.54490930358025,192621752.9785583,2907.252121531344,3
4,chi_buff,chi,buff,9,1.0,3320.989143164382,333.62286357876866,192713668.2507129,3320.989143164382,10
5,chi_buff,chi,buff,0,0.08698847,3600.0000099182475,369.3551081184753,193307710.57853508,41384.79513340386,25
5,chi_buff,chi,buff,1,0.08698847,3600.0000099182475,368.6926306109885,193307710.57853508,41384.79513340386,25
5,chi_buff,chi,buff,2,0.08698847,3600.0000099182475,368.33259922788505,193307710.57853508,41384.79513340386,25
5,chi_buff,chi,buff,3,0.016739188,692.7478660795322,70.8320044507399,193307710.57853508,41384.79513340386,25
5,chi_buff,chi,buff,4,0.08698847,3600.0000099182475,368.466712914206,193307710.57853508,41384.79513340386,25
5,chi_buff,chi,buff,5,0.036733827,1520.221904860899,155.82117002796733,193307710.57853508,41384.79513340386,25
5,chi_buff,chi,buff,6,0.056728467,2347.6959850270614,241.20517303065247,193307710.57853508,41384.79513340386,25
5,chi_buff,chi,buff,18,0.019183841,793.9193296567934,83.68963953734215,193307710.57853508,41384.79513340386,25
5,chi_buff,chi,buff,19,0.08698847,3600.0000099182475,378.26659386300173,193307710.57853508,41384.79513340386,25
5,chi_buff,chi,buff,20,0.08698847,3600.0000099182475,377.0062008906959,193307710.57853508,41384.79513340386,25
5,chi_buff,chi,buff,21,0.08698847,3600.0000099182475,375.4935968022182,193307710.57853508,41384.79513340386,25
5,chi_buff,chi,buff,22,0.08698847,3600.0000099182475,373.3587990115017,193307710.57853508,41384.79513340386,25
5,chi_buff,chi,buff,23,0.08698847,3600.0000099182475,371.0181052495215,193307710.57853508,41384.79513340386,25
5,chi_buff,chi,buff,24,0.08698847,3600.0000099182475,369.3551081184753,193307710.57853508,41384.79513340386,25
6,chi_buff,chi,buff,8,1.0,838.567013366155,84.67211012855725,190801686.0307108,838.567013366155,8
7,chi_buff,chi,buff,9,0.095970643,279.0108554664772,28.02902309622231,192621752.9785583,2907.252121531344,12
7,chi_buff,chi,buff,10,0.38112255,1108.0193420509358,112.17614859285597,192621752.9785583,2907.252121531344,12
7,chi_buff,chi,buff,12,0.52290681,1520.2219327356877,155.1943739557035,192621752.9785583,2907.252121531344,12
8,chi_buff,chi,buff,6,1.0,1252.3040349991925,129.0816423656344,191646751.3419413,1252.3040349991925,6
9,chi_buff,chi,buff,7,0.28734858,3569.7899189967206,360.76847088352935,193186884.28416547,12423.203619091211,25
9,chi_buff,chi,buff,8,0.22228026,2761.4329304845355,279.06977544963314,193186884.28416547,12423.203619091211,25
9,chi_buff,chi,buff,10,0.20059082,2491.980600980474,254.12160645977636,193186884.28416547,12423.203619091211,25
9,chi_buff,chi,buff,11,0.28978033,3600.000044397445,369.24036488953953,193186884.28416547,12423.203619091211,25
