job_id,source_node,destination_node,forecast_id,allocated_time,carbon_emissions,throughput,transfer_time,transfer_time_hours,deadline
9,tacc,buff,10,3600.0,6966.535355882277,44234347.235449366,3600.0,1.0,25
9,tacc,buff,9,3600.0,6955.0057969061,44234347.235449366,3600.0,1.0,25
9,tacc,buff,11,3600.0,6921.091753383208,44234347.235449366,3600.0,1.0,25
9,tacc,buff,8,3600.0,6873.450951725398,44234347.235449366,3600.0,1.0,25
9,tacc,buff,6,3600.0,6847.806971126846,44234347.235449366,3600.0,1.0,25
9,tacc,buff,5,3600.0,6843.669322605077,44234347.235449366,3600.0,1.0,25
9,tacc,buff,7,3600.0,6842.569747966679,44234347.235449366,3600.0,1.0,25
9,tacc,buff,12,3600.0,6826.442614123343,44234347.235449366,3600.0,1.0,25
9,tacc,buff,4,3600.0,6816.222284740966,44234347.235449366,3600.0,1.0,25
9,tacc,buff,3,3600.0,6767.705953850527,44234347.235449366,3600.0,1.0,25
9,tacc,buff,2,3600.0,6706.646577893487,44234347.235449366,3600.0,1.0,25
9,tacc,buff,13,3600.0,6701.211807752252,44234347.235449366,3600.0,1.0,25
9,tacc,buff,1,3600.0,6641.065469178879,44234347.235449366,3600.0,1.0,25
9,tacc,buff,0,3600.0,6601.721352847496,44234347.235449366,3600.0,1.0,25
9,tacc,buff,24,3600.0,6601.721352847496,44234347.235449366,3600.0,1.0,25
9,tacc,buff,23,256.4805404575236,6588.488905681265,44234347.235449366,256.4805404575236,0.07124459457153433,25
1,tacc,buff,14,3600.0,1245.750987991544,44174167.64448069,3600.0,1.0,15
1,tacc,buff,15,3600.0,1185.675821872097,44174167.64448069,3600.0,1.0,15
1,chi,buff,15,1855.0659204096555,217.92040712701032,192328212.40891132,1855.0659204096555,0.5152960890026821,15
7,chi,buff,0,3600.0,303.0422226679655,192621752.9785583,3600.0,1.0,12
7,chi,buff,2,3600.0,302.5865643775442,192621752.9785583,3600.0,1.0,12
7,chi,buff,1,3600.0,301.3733606493115,192621752.9785583,3600.0,1.0,12
7,chi,buff,4,1871.1790900134838,300.49380893534163,192621752.9785583,1871.1790900134838,0.5197719694481899,12
4,chi,buff,4,1728.8209099865162,343.2588771594641,192713668.2507129,1728.8209099865162,0.48022803055181007,10
4,chi,buff,6,3600.0,342.325651740838,192713668.2507129,3600.0,1.0,10
4,chi,buff,3,3600.0,342.174933974758,192713668.2507129,3600.0,1.0,10
4,chi,buff,5,3600.0,342.01568566046063,192713668.2507129,3600.0,1.0,10
4,chi,buff,7,1950.4147648288836,337.6093161227666,192713668.2507129,1950.4147648288836,0.5417818791191343,10
6,chi,buff,7,1649.5852351711164,85.2420262063835,190801686.0307108,1649.5852351711164,0.45821812088086566,8
6,chi,buff,8,1981.3109308327935,84.67211012855725,190801686.0307108,1981.3109308327935,0.5503641474535538,8
