job_id,route_key,forecast_id,allocated_time,carbon_emissions,throughput,transfer_time,deadline
3,chi_buff,0,2907.252121531344,303.0422226679655,192621752.9785583,2907.252121531344,3
2,tacc_buff,0,3600.0,1046.4193523101794,44174167.64448069,3600.0,5
2,tacc_buff,1,3600.0,1046.4193523101794,44174167.64448069,3600.0,5
2,tacc_buff,2,1855.0659204096555,1046.4193523101794,44174167.64448069,1855.0659204096555,5
8,chi_buff,0,692.7478784686559,130.53123011386077,191646751.3419413,692.7478784686559,6
8,chi_buff,1,559.5561565305366,130.53123011386077,191646751.3419413,559.5561565305366,6
6,tacc_buff,2,1744.9340795903445,446.2281841195263,44066256.01086597,1744.9340795903445,8
6,tacc_buff,3,1885.9620864135654,446.2281841195263,44066256.01086597,1885.9620864135654,8
4,chi_buff,1,3040.4438434694634,346.16997080649173,192713668.2507129,3040.4438434694634,10
4,chi_buff,2,280.5452996949184,346.16997080649173,192713668.2507129,280.5452996949184,10
7,tacc_buff,3,1714.0379135864346,1435.1185463834488,44194782.19208124,1714.0379135864346,12
7,tacc_buff,4,3600.0,1435.1185463834488,44194782.19208124,3600.0,12
7,tacc_buff,5,3600.0,1435.1185463834488,44194782.19208124,3600.0,12
7,tacc_buff,6,3600.0,1435.1185463834488,44194782.19208124,3600.0,12
7,tacc_buff,7,157.14117642704878,1435.1185463834488,44194782.19208124,157.14117642704878,12
1,chi_buff,2,2079.7780782652685,216.7867263909132,192328212.40891132,2079.7780782652685,15
5,chi_buff,2,1239.676622039813,4246.023733012838,193307710.57853508,1239.676622039813,25
5,chi_buff,3,3600.0,4246.023733012838,193307710.57853508,3600.0,25
5,chi_buff,4,3600.0,4246.023733012838,193307710.57853508,3600.0,25
5,chi_buff,5,3600.0,4246.023733012838,193307710.57853508,3600.0,25
5,chi_buff,6,3600.0,4246.023733012838,193307710.57853508,3600.0,25
5,chi_buff,7,3600.0,4246.023733012838,193307710.57853508,3600.0,25
5,chi_buff,8,3600.0,4246.023733012838,193307710.57853508,3600.0,25
5,chi_buff,9,3600.0,4246.023733012838,193307710.57853508,3600.0,25
5,chi_buff,10,3600.0,4246.023733012838,193307710.57853508,3600.0,25
5,chi_buff,11,3600.0,4246.023733012838,193307710.57853508,3600.0,25
5,chi_buff,12,3600.0,4246.023733012838,193307710.57853508,3600.0,25
5,chi_buff,13,3600.0,4246.023733012838,193307710.57853508,3600.0,25
5,chi_buff,14,545.1185113640458,4246.023733012838,193307710.57853508,545.1185113640458,25
9,tacc_buff,7,3442.858823572951,6601.721352847496,44234347.235449366,3442.858823572951,25
9,tacc_buff,8,3600.0,6601.721352847496,44234347.235449366,3600.0,25
9,tacc_buff,9,3600.0,6601.721352847496,44234347.235449366,3600.0,25
9,tacc_buff,10,3600.0,6601.721352847496,44234347.235449366,3600.0,25
9,tacc_buff,11,3600.0,6601.721352847496,44234347.235449366,3600.0,25
9,tacc_buff,12,3600.0,6601.721352847496,44234347.235449366,3600.0,25
9,tacc_buff,13,3600.0,6601.721352847496,44234347.235449366,3600.0,25
9,tacc_buff,14,3600.0,6601.721352847496,44234347.235449366,3600.0,25
9,tacc_buff,15,3600.0,6601.721352847496,44234347.235449366,3600.0,25
9,tacc_buff,16,3600.0,6601.721352847496,44234347.235449366,3600.0,25
9,tacc_buff,17,3600.0,6601.721352847496,44234347.235449366,3600.0,25
9,tacc_buff,18,3600.0,6601.721352847496,44234347.235449366,3600.0,25
9,tacc_buff,19,3600.0,6601.721352847496,44234347.235449366,3600.0,25
9,tacc_buff,20,3600.0,6601.721352847496,44234347.235449366,3600.0,25
9,tacc_buff,21,3600.0,6601.721352847496,44234347.235449366,3600.0,25
9,tacc_buff,22,413.621716884576,6601.721352847496,44234347.235449366,413.621716884576,25
